id,sku,name,key,value,confidence,evidence
phase3c-20450-application_method-49,20450,EPOCA EP TEC 360° Derece Kimyasal Dayanımlı Basınçlı Pompa 1.3 Litre,application_method,both,high,machine+hand
phase3c-21746-volume_ml-50,21746,EPOCA A-TYPE 10 PRO Köpük Yapıcı Alkali ve Alkol Dayanımlı Basınçlı Pompa 11 Litre,volume_ml,230,high,230 ml
phase3c-21746-skill_level-51,21746,EPOCA A-TYPE 10 PRO Köpük Yapıcı Alkali ve Alkol Dayanımlı Basınçlı Pompa 11 Litre,skill_level,pro,high,profesyonel/usta
phase3c-21746-application_method-53,21746,EPOCA A-TYPE 10 PRO Köpük Yapıcı Alkali ve Alkol Dayanımlı Basınçlı Pompa 11 Litre,application_method,machine,high,machine signal
phase3c-21746-rinse_required-54,21746,EPOCA A-TYPE 10 PRO Köpük Yapıcı Alkali ve Alkol Dayanımlı Basınçlı Pompa 11 Litre,rinse_required,true,high,durulayın/yıkayın
phase3c-23822-application_method-56,23822,EPOCA TEC 10 Alkali ve Alkol Dayanımlı Basınçlı Pompa 10 Litre,application_method,machine,high,machine signal
phase3c-23841-skill_level-57,23841,EPOCA TOP TEC 10 Köpük Yapıcı Alkali ve Alkol Dayanımlı Basınçlı Pompa 10 Litre,skill_level,pro,high,profesyonel/usta
phase3c-23841-application_method-59,23841,EPOCA TOP TEC 10 Köpük Yapıcı Alkali ve Alkol Dayanımlı Basınçlı Pompa 10 Litre,application_method,machine,high,machine signal
phase3c-24952-volume_ml-60,24952,EPOCA A-TYPE 0.6 Kimyasal Dayanımlı El Tipi Sprey Şişe 600 ml - Beyaz/Siyah (NBR),volume_ml,600,high,600 ml
phase3c-24952-skill_level-61,24952,EPOCA A-TYPE 0.6 Kimyasal Dayanımlı El Tipi Sprey Şişe 600 ml - Beyaz/Siyah (NBR),skill_level,pro,high,profesyonel/usta
phase3c-24952-application_method-62,24952,EPOCA A-TYPE 0.6 Kimyasal Dayanımlı El Tipi Sprey Şişe 600 ml - Beyaz/Siyah (NBR),application_method,both,high,machine+hand
phase3c-24952-rinse_required-63,24952,EPOCA A-TYPE 0.6 Kimyasal Dayanımlı El Tipi Sprey Şişe 600 ml - Beyaz/Siyah (NBR),rinse_required,true,high,durulayın/yıkayın
phase3c-26005-volume_ml-64,26005,"A-TYPE 1.5 PRO ULTIMATE Solvent, Petrol ve Agresif Kimyasal Dayanımlı Basınçlı Pompa 1.8 Litre",volume_ml,1860,high,1860 ml
phase3c-26005-skill_level-65,26005,"A-TYPE 1.5 PRO ULTIMATE Solvent, Petrol ve Agresif Kimyasal Dayanımlı Basınçlı Pompa 1.8 Litre",skill_level,pro,high,profesyonel/usta
