source,id,sku,key,after,original_group,original_sub_type,final_group,final_sub_type,reason
phase3c,phase3c-83371-application_method-292,83371,application_method,machine,sprayers_bottles,pump_sprayer,sprayers_bottles,pump_sprayer,application_method: not applicable for sprayers_bottles/pump_sprayer
phase3c,phase3c-83371-rinse_required-293,83371,rinse_required,True,sprayers_bottles,pump_sprayer,sprayers_bottles,pump_sprayer,rinse_required: not applicable for sprayers_bottles/pump_sprayer
phase3c,phase3c-83371816-skill_level-294,83371816,skill_level,pro,spare_part,trigger_gun,spare_part,trigger_head,skill_level: not applicable for spare_part/trigger_head
phase3c,phase3c-83371816-application_method-296,83371816,application_method,machine,spare_part,trigger_gun,spare_part,trigger_head,application_method: not applicable for spare_part/trigger_head
phase3c,phase3c-83371836-skill_level-297,83371836,skill_level,pro,spare_part,hose,spare_part,hose,skill_level: not applicable for spare_part/hose
phase3c,phase3c-83371836-application_method-299,83371836,application_method,machine,spare_part,hose,spare_part,hose,application_method: not applicable for spare_part/hose
phase3c,phase3c-8410-skill_level-300,8410,skill_level,pro,spare_part,trigger_head,spare_part,trigger_head,skill_level: not applicable for spare_part/trigger_head
phase3c,phase3c-8410-application_method-302,8410,application_method,both,spare_part,trigger_head,spare_part,trigger_head,application_method: not applicable for spare_part/trigger_head
phase3c,phase3c-84170-skill_level-304,84170,skill_level,pro,sprayers_bottles,trigger_sprayer,sprayers_bottles,trigger_sprayer,skill_level: not applicable for sprayers_bottles/trigger_sprayer
phase3c,phase3c-84170-application_method-306,84170,application_method,both,sprayers_bottles,trigger_sprayer,sprayers_bottles,trigger_sprayer,application_method: not applicable for sprayers_bottles/trigger_sprayer
phase3c,phase3c-84173-skill_level-308,84173,skill_level,pro,sprayers_bottles,trigger_sprayer,sprayers_bottles,trigger_sprayer,skill_level: not applicable for sprayers_bottles/trigger_sprayer
phase3c,phase3c-84173-application_method-309,84173,application_method,both,sprayers_bottles,trigger_sprayer,sprayers_bottles,trigger_sprayer,application_method: not applicable for sprayers_bottles/trigger_sprayer
phase3c,phase3c-84174-skill_level-311,84174,skill_level,pro,sprayers_bottles,trigger_sprayer,sprayers_bottles,trigger_sprayer,skill_level: not applicable for sprayers_bottles/trigger_sprayer
