sku,key,value_text,value_numeric,value_boolean
Q2M-LB,design,"Ergonomik, yuvarlak kenarlı",,
Q2M-BPYA1000M,ph_level,6-7 (Nötr),,
Q2M-BPYA1000M,features,"Yıka ve Koru (Wash & Coat), anında su iticilik",,
Q2M-BPYA1000M,consumption_ml_per_car,,20,
Q2M-PPFW500M,ph_level,7 (Nötr),,
Q2M-PPFW500M,features,"Demir tozu sökücü etkili, folyo gözeneklerini temizler",,
Q2M-PPFW500M,dilution_ratio,1:500,,
Q2M-PPFW500M,consumption_ml_per_car,,25,
Q2M-RWYA1000M,ph_level,6 (Hafif Asidik),,
Q2M-RWYA1000M,features,"Kireç ve demir tozu çözer, kaplamayı canlandırır",,
Q2M-RWYA1000M,dilution_ratio,1:500,,
Q2M-RWYA1000M,safe_on_ceramic_coatings,,,true
Q2M-RWYA1000M,consumption_ml_per_car,,25,
Q2M-EW1000M,ph_level,Nötr,,
Q2M-EW1000M,dilution_ratio,1:10 (Susuz) - 1:256 (Durulamasız),,
Q2M-EW1000M,features,Susuz yıkama ve parlaklık,,
Q2M-EW1000M,safe_on_ceramic_coatings,,,true
700507,ph_level,6.0,,
700507,features,Görsel takip sağlayan renkli köpük,,
700507,safe_on_ceramic_coatings,,,true
700507,consumption_ml_per_car,,20,
79286,ph_level,6.50,,
79286,features,"Yıkama, mühürleme ve su iticilik (3in1)",,
79286,durability_months,,4,
79286,consumption_ml_per_car,,17,
79290,ph_level,3 (Asidik),,
79290,features,"Kireç ve mineral sökücü, kaplama yenileyici",,
79290,dilution_ratio,1:50 (Bakım) - 1:5 (Dekontaminasyon),,
79290,safe_on_ceramic_coatings,,,true
79290,consumption_ml_per_car,,20,
71490,ph_level,10.35 (Alkali),,
71490,features,"Kar efekti (Snow Foam), yol filmini söker",,
71490,dilution_ratio,1:50,,
71490,safe_on_ceramic_coatings,,,true
71490,scent,Çiçek,,
701003,features,"Wash & Wax, hidrofobik etki",,
701003,dilution_ratio,1:50,,
71180,features,"Renkli köpük, antistatik etki",,
71180,dilution_ratio,1:80,,
73575,features,"Ağır kir ve gres sökücü, çift katmanlı etki",,
73575,dilution_ratio,1:80,,
Q2M-FYA4000M,ph_level,Nötr (~7),,
Q2M-FYA4000M,dilution_ratio,1:5 - 1:15,,
Q2M-FYA4000M,consumption_ml_per_car,,50,
Q2M-BYA4000M,ph_level,6 (Nötr),,
Q2M-BYA4000M,dilution_ratio,1:500,,
Q2M-BYA4000M,consumption_ml_per_car,,20,
Q2M-RW1000M,ph_level,6 (Hafif Asidik),,
Q2M-RW1000M,dilution_ratio,1:500,,
Q2M-RW1000M,consumption_ml_per_car,,25,
Q2M-TWYA500M,ph_level,7 (Nötr),,
70616,ph_level,Nötr,,
70616,dilution_ratio,1:120,,
701851,dilution_ratio,1:9 (Genel) - 1:5 (İnatçı Kir),,
701980,ph_level,10,,
700387,ph_level,13.9 (Yüksek Alkali),,
72042,ph_level,11.4 (Alkali),,
79284,ph_level,7.0 (Nötr),,
79284,consumption_ml_per_car,,20,
700508,ph_level,6.0,,
700508,consumption_ml_per_car,,20,
79281,ph_level,11.50 (Alkali),,
79281,consumption_ml_per_car,,50,
Q2-PLE50M,durability_months,,36,
Q2-PLE50M,hardness,9H,,
Q2-PLE50M,consumption_ml_per_car,,27,
Q2-SLE50M,durability_months,,50,
Q2-SLE50M,kit_contents,Mohs EVO Base Coat,,
Q2-SLE50M,kit_contents,Skin EVO Top Coat,,
Q2-SLE50M,features,En yüksek hidrofobi ve kayganlık,,
Q2-SLE50M,consumption_ml_per_car,,20,
Q2-MTEL50M,durability_months,,24,
Q2-MTEL50M,consumption_ml_per_car,,30,
Q2-CCE200M,durability_months,,12,
Q2-CCE200M,application_method,Sprey (Püskürt-Sil),,
Q2-CCE200M,consumption_ml_per_car,,13,
MXP-DPCN50KS,durability_months,,48,
MXP-DPCN50KS,hardness,9H,,
MXP-DPCN50KS,features,Tuzlu su ve reçine direnci,,
MXP-DPCN50KS,consumption_ml_per_car,,23,
MXP-CCN50KS,durability_months,,36,
MXP-CCN50KS,features,Yüksek parlaklık ve kontrast,,
700405,durability_months,,48,
700405,hardness,7H (Esnek),,
700405,features,"Self-healing, Tek kat uygulama",,
700405,consumption_ml_per_car,,30,
Q2-RE30M,durability_months,,18,
Q2-RE30M,features,Fren tozuna dayanıklı,,
Q2-TRE30M,durability_months,,36,
Q2-TRE30M,features,"Solmuş plastiği yeniler, renk canlandırır",,
Q2-TRE30M,consumption_ml_per_car,,10,
Q2-LSE50M,durability_months,,18,
Q2-LSE50M,features,Boya transferini (jean lekesi) önler,,
Q2-VE20M,durability_months,,24,
Q2-VE20M,kit_contents,Repel (Kaplama),,
Q2-VE20M,kit_contents,GlassPolish (Temizleyici),,
79296,durability_months,,6,
79296,features,Kireç ve kir önleyici,,
79296,consumption_ml_per_car,,30,
Q2-PPFE50M,durability_months,,24,
Q2-PPFE50M,features,"Esnek yapı, Self-healing uyumlu",,
Q2-PPFE50M,consumption_ml_per_car,,30,
Q2-FCNA400M,durability_months,,6,
Q2-FCNA400M,application_method,Sprey,,
Q2-FCNA400M,features,"SiO2 içerikli, su itici, nefes alabilir",,
79299,durability_months,,6,
79299,application_method,Sprey,,
79299,features,"Su ve yağ itici, alkol bazlı hızlı kuruma",,
Q2-TYA500M,features,"Kir tutmaz, sıçrama yapmaz",,
Q2-TYA500M,consumption_ml_per_car,,12,
Q2-AF120M,durability_months,,2,
Q2-AF120M,function,Buğu önleme (İç cam),,
Q2-AF120M,consumption_ml_per_car,,15,
Q2-BS30M,durability_months,,12,
Q2-BS30M,function,Mevcut seramiğin hidrofobisini yenileme,,
Q2-BS30M,consumption_ml_per_car,,30,
Q2-PC100M,durability_months,,12,
Q2-PC100M,function,Antibakteriyel bariyer,,
Q2-MLE100M,durability_months,,36,
Q2-MLE100M,hardness,9H,,
Q2-MLE100M,consumption_ml_per_car,,25,
Q2M-PYA4000M,consumption_ml_per_car,,100,
Q2-OLE100M,hardness,9H,,
Q2-OLE100M,consumption_ml_per_car,,25,
Q2-PR1000M,cut_level,,1,
Q2-PR1000M,silicone_free,,,true
Q2-PR1000M,filler_free,,,true
MGPS-6012K,size,150 mm,,
MGPS-6012K,material,Polimer kauçuk + PU köpük,,
MGPS-6016P,size,21x16 cm,,
MGPS-6016P,color,Kırmızı,,
